Question,Answer
What days does the course 88051 Study Abroad meet?,"Tuesday, Thursday"
What is the location of the course 88051 Study Abroad?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88051 Study Abroad?,PH 100
How many units is the course 88051 Study Abroad?,9.0
Who are the instructors of the course 88051 Study Abroad?,Moya
"What is the course number of Markets, Democracy, and Public Policy?",88221
What is the name of course number 88221?,"Markets, Democracy, and Public Policy"
"What time does the course 88221 Markets, Democracy, and Public Policy begin?",12:30PM
"What time does the course 88221 Markets, Democracy, and Public Policy end?",01:50PM
"What days does the course 88221 Markets, Democracy, and Public Policy meet?","Monday, Wednesday, "
"What is the location of the course 88221 Markets, Democracy, and Public Policy?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 88221 Markets, Democracy, and Public Policy?",WEH 5409
"How many units is the course 88221 Markets, Democracy, and Public Policy?",9.0
"Who are the instructors of the course 88221 Markets, Democracy, and Public Policy?",Fong
What is the course number of Negotiation: International Focus?,88234
What is the name of course number 88234?,Negotiation: International Focus
What time does the course 88234 Negotiation: International Focus begin?,09:30AM
What time does the course 88234 Negotiation: International Focus end?,10:50AM
What days does the course 88234 Negotiation: International Focus meet?,"Monday, Wednesday, "
What is the location of the course 88234 Negotiation: International Focus?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88234 Negotiation: International Focus?,WEH 5421
How many units is the course 88234 Negotiation: International Focus?,9.0
Who are the instructors of the course 88234 Negotiation: International Focus?,Moya
What is the course number of Strategic Decision Making?,88255
What is the name of course number 88255?,Strategic Decision Making
What time does the course 88255 Strategic Decision Making begin?,02:00PM
What time does the course 88255 Strategic Decision Making end?,03:20PM
What days does the course 88255 Strategic Decision Making meet?,"Monday, Wednesday, "
What is the location of the course 88255 Strategic Decision Making?,"A18B Pittsburgh, Pennsylvania"
What is the building and room number of the course 88255 Strategic Decision Making?,PH
How many units is the course 88255 Strategic Decision Making?,9.0
Who are the instructors of the course 88255 Strategic Decision Making?,Golman
What is the course number of Topics of Law: The Bill of Rights?,88284
What is the name of course number 88284?,Topics of Law: The Bill of Rights
What time does the course 88284 Topics of Law: The Bill of Rights begin?,07:00PM
What time does the course 88284 Topics of Law: The Bill of Rights end?,09:50PM
What days does the course 88284 Topics of Law: The Bill of Rights meet?,"Tuesday, "
What is the location of the course 88284 Topics of Law: The Bill of Rights?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88284 Topics of Law: The Bill of Rights?,BH A53
How many units is the course 88284 Topics of Law: The Bill of Rights?,9.0
Who are the instructors of the course 88284 Topics of Law: The Bill of Rights?,Miller
What is the course number of Programming and Data Analysis for Social Scientists?,88300
What is the name of course number 88300?,Programming and Data Analysis for Social Scientists
What time does the course 88300 Programming and Data Analysis for Social Scientists begin?,02:00PM
What time does the course 88300 Programming and Data Analysis for Social Scientists end?,03:20PM
What days does the course 88300 Programming and Data Analysis for Social Scientists meet?,"Tuesday, Thursday"
What is the location of the course 88300 Programming and Data Analysis for Social Scientists?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88300 Programming and Data Analysis for Social Scientists?,POS 145
How many units is the course 88300 Programming and Data Analysis for Social Scientists?,9.0
Who are the instructors of the course 88300 Programming and Data Analysis for Social Scientists?,Patterson
What is the course number of Human and Machine Decisions from Experience?,88308
What is the name of course number 88308?,Human and Machine Decisions from Experience
What time does the course 88308 Human and Machine Decisions from Experience begin?,11:00AM
What time does the course 88308 Human and Machine Decisions from Experience end?,12:20PM
What days does the course 88308 Human and Machine Decisions from Experience meet?,"Monday, Wednesday, "
What is the location of the course 88308 Human and Machine Decisions from Experience?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88308 Human and Machine Decisions from Experience?,PH A20
How many units is the course 88308 Human and Machine Decisions from Experience?,9.0
Who are the instructors of the course 88308 Human and Machine Decisions from Experience?,Malloy
What is the course number of Team Dynamics and Leadership?,88341
What is the name of course number 88341?,Team Dynamics and Leadership
What time does the course 88341 Team Dynamics and Leadership begin?,03:30PM
What time does the course 88341 Team Dynamics and Leadership end?,04:50PM
What days does the course 88341 Team Dynamics and Leadership meet?,"Tuesday, Thursday"
What is the location of the course 88341 Team Dynamics and Leadership?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88341 Team Dynamics and Leadership?,TEP 2612
How many units is the course 88341 Team Dynamics and Leadership?,9.0
Who are the instructors of the course 88341 Team Dynamics and Leadership?,Tomprou
What is the course number of Behavioral Economics of Poverty and Development?,88366
What is the name of course number 88366?,Behavioral Economics of Poverty and Development
What time does the course 88366 Behavioral Economics of Poverty and Development begin?,09:30AM
What time does the course 88366 Behavioral Economics of Poverty and Development end?,10:50AM
What days does the course 88366 Behavioral Economics of Poverty and Development meet?,"Tuesday, Thursday"
What is the location of the course 88366 Behavioral Economics of Poverty and Development?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88366 Behavioral Economics of Poverty and Development?,PH 225B
How many units is the course 88366 Behavioral Economics of Poverty and Development?,9.0
Who are the instructors of the course 88366 Behavioral Economics of Poverty and Development?,Kiss
What is the course number of Behavioral Decision Making?,88602
What is the name of course number 88602?,Behavioral Decision Making
What time does the course 88602 Behavioral Decision Making begin?,02:00PM
What time does the course 88602 Behavioral Decision Making end?,03:20PM
What days does the course 88602 Behavioral Decision Making meet?,"Monday, Wednesday, "
What is the location of the course 88602 Behavioral Decision Making?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 88602 Behavioral Decision Making?,GHC 4211
How many units is the course 88602 Behavioral Decision Making?,12.0
Who are the instructors of the course 88602 Behavioral Decision Making?,Carbone
What is the course number of Usable Privacy and Security?,17334
What is the name of course number 17334?,Usable Privacy and Security
What time does the course 17334 Usable Privacy and Security begin?,02:00PM
What time does the course 17334 Usable Privacy and Security end?,03:20PM
What days does the course 17334 Usable Privacy and Security meet?,"Monday, Wednesday, "
What is the location of the course 17334 Usable Privacy and Security?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 17334 Usable Privacy and Security?,HH B103
How many units is the course 17334 Usable Privacy and Security?,9.0
Who are the instructors of the course 17334 Usable Privacy and Security?,"Cranor, Agarwal"
What is the course number of Software Engineering Practicum?,17413
What is the name of course number 17413?,Software Engineering Practicum
